bench_id	format	source_group	source_url	landing_url	license_spdx	license_url	terms_url	redistributable	enabled_tier	review_status	target_rel_path	size_class	actual_size_class	download_status	download_error	source_version	notes
docx_ulsterbus_cif_notes	docx	opendatani	https://admin.opendatani.gov.uk/dataset/c1acee5b-a400-46bd-a795-9bf7637ff879/resource/7b195748-c3f9-4970-b0fb-90a194f7e3b3/download/bus-cif-file-supplementary-notes.docx	https://www.data.gov.uk/dataset/c1acee5b-a400-46bd-a795-9bf7637ff879/ulsterbus-and-goldline-timetable-data-from-28-june-31-august-2016	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	docx/opendatani/small/ulsterbus-cif-file-supplementary-notes.docx	small		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
docx_metro_cif_notes	docx	opendatani	https://admin.opendatani.gov.uk/dataset/6d9677cf-8d03-4851-985c-16f73f7dd5fb/resource/1a72b4c1-48a4-4dd9-a1ee-2de4bba281bc/download/bus-cif-file-supplementary-notes.docx	https://www.data.gov.uk/dataset/6d9677cf-8d03-4851-985c-16f73f7dd5fb/metro-timetable-data-valid-from-18-june-until-31-august-2016	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	docx/opendatani/small/metro-cif-file-supplementary-notes.docx	small		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
docx_bus_stop_defs	docx	opendatani	https://admin.opendatani.gov.uk/dataset/495c6964-e8d2-4bf1-9942-8d950b3a0ceb/resource/169d8ffa-79bd-46bd-b6be-931cd46d6842/download/definitions-of-headings-of-translink-bus-stop-list-table.docx	https://www.data.gov.uk/dataset/495c6964-e8d2-4bf1-9942-8d950b3a0ceb/translink-bus-stop-list	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	docx/opendatani/tiny/definitions-of-headings-of-translink-bus-stop-list-table.docx	tiny		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
docx_dvla_user_guide	docx	opendatani	https://data.dft.gov.uk/driving-licence-data/driving-licence-data-user-guide-sep-2017.docx	https://www.data.gov.uk/dataset/d0be1ed2-9907-4ec4-b552-c048f6aec16a/driving-licence-data	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	smoke	reviewed_candidate	docx/opendatani/medium/driving-licence-data-user-guide-sep-2017.docx	medium	tiny	reused		current	
docx_manchester_parking_metadata	docx	opendatani	http://www.manchester.gov.uk/open/download/downloads/id/562/parking_spaces_2018_metadata.docx	https://www.data.gov.uk/dataset/79c34ee5-b548-4461-800c-c6b3ce6865bb/http-www-manchester-gov-uk-open-download-downloads-id-712-parking_spaces_2017-csv	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	docx/opendatani/small/parking_spaces_2018_metadata.docx	small		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
docx_trade_union_2020	docx	opendatani	http://open.manchester.gov.uk/download/downloads/id/928/trade_union_facility_time_2020_metadata.docx	https://www.data.gov.uk/dataset/6ed20c3e-f8be-4ad4-b49c-9c655daab4ae/public-sector-facility-time-publication	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	docx/opendatani/small/trade_union_facility_time_2020_metadata.docx	small		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
docx_trade_union_2022	docx	opendatani	https://www.manchester.gov.uk/open/downloads/download/163/trade_union_facility_time	https://www.data.gov.uk/dataset/6ed20c3e-f8be-4ad4-b49c-9c655daab4ae/public-sector-facility-time-publication	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	docx/opendatani/small/trade_union_facility_time_2022.docx	small		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
docx_trade_union_2023	docx	opendatani	https://open.manchester.gov.uk/downloads/file/1160/trade_union_facility_time_2023	https://www.data.gov.uk/dataset/6ed20c3e-f8be-4ad4-b49c-9c655daab4ae/public-sector-facility-time-publication	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	docx/opendatani/small/trade_union_facility_time_2023.docx	small		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
docx_trade_union_2024	docx	opendatani	https://www.manchester.gov.uk/open/downloads/download/187/trade_union_facility_time_2024	https://www.data.gov.uk/dataset/6ed20c3e-f8be-4ad4-b49c-9c655daab4ae/public-sector-facility-time-publication	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	docx/opendatani/small/trade_union_facility_time_2024.docx	small		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
pptx_staff_officer	pptx	opendatani	https://admin.opendatani.gov.uk/dataset/e7d8e911-bf68-472b-bf9c-3a337cf152e0/resource/fd6e9f25-0ecf-4268-a47c-89d21ed26f54/download/staff-officer---irc241559---final.pptx	https://www.data.gov.uk/dataset/e7d8e911-bf68-472b-bf9c-3a337cf152e0/irc241559-staff-officer-so-external-recruitment-campaign-section-75-data	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	pptx/opendatani/medium/staff-officer-irc241559-final.pptx	medium		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
pptx_deputy_principal	pptx	opendatani	https://admin.opendatani.gov.uk/dataset/e0ccb98b-a255-43c0-b4a2-3ea3a473fdd1/resource/bbde7f56-53e5-4a8f-beb4-6704335f9375/download/deputy-principal---irc241560.pptx	https://www.data.gov.uk/dataset/e0ccb98b-a255-43c0-b4a2-3ea3a473fdd1/irc241560-deputy-principal-dp-external-recruitment-campaign-data	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	pptx/opendatani/medium/deputy-principal-irc241560.pptx	medium		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
pptx_skills_academy	pptx	opendatani	https://admin.opendatani.gov.uk/dataset/90fbe621-d564-48db-a1c4-3e9070b6d5ca/resource/e418a83e-5db1-4d47-b16f-10a3262a4c3f/download/skills-academy-so-competition-irc284906-.pptx	https://www.data.gov.uk/dataset/90fbe621-d564-48db-a1c4-3e9070b6d5ca/irc284906-skills-academy-so-competition-external-recruitment-campaign-data	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	pptx/opendatani/medium/skills-academy-so-competition-irc284906.pptx	medium		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
pptx_student_placement_2022	pptx	opendatani	https://admin.opendatani.gov.uk/dataset/beb9ee30-d015-43e3-8ae7-cb33a1de626b/resource/e974733b-46ec-4cdb-882f-299b1c3b054e/download/student-placement-competition--irc-275819.pptx	https://www.data.gov.uk/dataset/beb9ee30-d015-43e3-8ae7-cb33a1de626b/nics-student-placement-external-recruitment-campaign-data-irc-275819	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	pptx/opendatani/medium/student-placement-irc-275819.pptx	medium		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
pptx_operational_apprentice	pptx	opendatani	https://www.opendatani.gov.uk/dataset/e0c7d95f-6589-4f63-a5aa-bda297be0895/resource/c1fd7c08-93d7-45bb-ba35-ff32424beeb2/download/completed-stages-of-operational-delivery-apprentice-comp---with-tables--extra-offer.pptx	https://www.data.gov.uk/dataset/e0c7d95f-6589-4f63-a5aa-bda297be0895/irc269650-nics-operational-delivery-apprentice-scheme-external-recruitment-campaign-data	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	pptx/opendatani/medium/operational-delivery-apprentice.pptx	medium		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
pptx_so_275969	pptx	opendatani	https://www.opendatani.gov.uk/dataset/e1bd774e-bda7-42dc-bd49-0b38caef283b/resource/560f8a2a-8c86-475d-ba07-d0abee6f087d/download/so---completed-stages-with-tables.pptx	https://www.data.gov.uk/dataset/e1bd774e-bda7-42dc-bd49-0b38caef283b/irc275969-staff-officer-so-external-recruitment-campaign-data	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	pptx/opendatani/medium/so-completed-stages-with-tables.pptx	medium		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
pptx_eo_265817	pptx	opendatani	https://www.opendatani.gov.uk/dataset/f458b041-ab57-413a-a925-ad0953138d3a/resource/dad7b2ce-e37b-483a-90d9-db8d6fcf05b8/download/completed-stages-of-eoi-and-eoii.pptx	https://www.data.gov.uk/dataset/f458b041-ab57-413a-a925-ad0953138d3a/irc265817-executive-officer-2	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	pptx/opendatani/medium/completed-stages-of-eoi-and-eoii.pptx	medium		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
pptx_nhs_diabetes	pptx	nhs_digital	https://files.digital.nhs.uk/A6/CD0E5A/NDA_DPP_MainReport_1718_1.1.pptx	https://www.data.gov.uk/dataset/314fb958-a5b9-43b2-95aa-38113a5e52d3/national-diabetes-audit-diabetes-prevention-programme-2017-18-diagnoses-and-demographics	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/		yes	disabled	reviewed_candidate	pptx/nhs_digital/large/NDA_DPP_MainReport_1718_1.1.pptx	large	small	reused		current	
pptx_ao_2019	pptx	opendatani	https://www.opendatani.gov.uk/dataset/52f3bf19-6073-48b5-bf5f-1260bb7ae7a9/resource/eb2b492b-900b-4740-a6a3-88dcac799915/download/completed-stages-of-ao---with-tables.pptx	https://www.data.gov.uk/dataset/52f3bf19-6073-48b5-bf5f-1260bb7ae7a9/irc240709-administrative-officer-ao-external-recruitment-2019-20	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	pptx/opendatani/medium/completed-stages-of-ao-with-tables.pptx	medium		catalog_only		current	FETCH_BLOCKED in this environment; kept as catalog candidate.
pptx_ecgd_orgchart	pptx	govuk_orgcharts	https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/190928/ecgd-structure-chart-march-2012.pptx	https://www.data.gov.uk/dataset/c06fa044-eafc-4ed8-8941-426c5ad03a6f/staff-organograms-and-pay-ecgd	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	smoke	reviewed_candidate	pptx/govuk_orgcharts/small/ecgd-structure-chart-march-2012.pptx	small	small	reused		current	
xlsx_ons_mye24	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2024/mye24tablesuk.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	smoke	reviewed_candidate	xlsx/ons/medium/mye24tablesuk.xlsx	medium	medium	reused		current	
xlsx_ons_myeb_2011_2024	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2011tomid2024/myebtablesuk20112024.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	xlsx/ons/medium/myebtablesuk20112024.xlsx	medium	large	reused		current	
xlsx_ons_ukpop_1838_2024	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/ukpopulationestimates1838to2024/ukpopulationestimates18382024.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	xlsx/ons/medium/ukpopulationestimates18382024.xlsx	medium	small	reused		current	
xlsx_ons_mye23	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2023/mye23tablesuk.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	xlsx/ons/medium/mye23tablesuk.xlsx	medium	tiny	reused		current	
xlsx_ons_ukpop_1838_2023	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/ukpopulationestimates1838to2023/ukpopulationestimates183820231.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	xlsx/ons/medium/ukpopulationestimates183820231.xlsx	medium	small	reused		current	
xlsx_ons_myeb_2011_2022	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2011tomid2022/myebtablesuk20112022.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	xlsx/ons/medium/myebtablesuk20112022.xlsx	medium	medium	reused		current	
xlsx_ons_mye22	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2022/mye22final.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	xlsx/ons/medium/mye22final.xlsx	medium	medium	reused		current	
xlsx_ons_regional_1971_2020	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2001tomid2020detailedtimeseries/regionalpopestimatesenglandandwales19712020.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	xlsx/ons/medium/regionalpopestimatesenglandandwales19712020.xlsx	medium	small	reused		current	
xlsx_ons_ukpop_1838_2020	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2001tomid2020detailedtimeseries/ukpopulationestimates18382020.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	xlsx/ons/medium/ukpopulationestimates18382020.xlsx	medium	medium	reused		current	
xlsx_ons_ukpop_1838_2019	xlsx	ons	https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2001tomid2019detailedtimeseries/ukpopulationestimates18382019.xlsx	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland	OGL-UK-3.0	https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/		yes	disabled	reviewed_candidate	xlsx/ons/medium/ukpopulationestimates18382019.xlsx	medium	medium	reused		current	
html_w3c_wcag22	html	w3c_specs	https://www.w3.org/TR/WCAG22/	https://www.w3.org/TR/WCAG22/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	smoke	reviewed_candidate	html/w3c_specs/medium/wcag22.html	medium	small	reused		current	
html_w3c_svg2	html	w3c_specs	https://www.w3.org/TR/SVG2/	https://www.w3.org/TR/SVG2/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	disabled	reviewed_candidate	html/w3c_specs/large/svg2.html	large	tiny	reused		current	
html_w3c_css_color4	html	w3c_specs	https://www.w3.org/TR/css-color-4/	https://www.w3.org/TR/css-color-4/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	disabled	reviewed_candidate	html/w3c_specs/medium/css_color4.html	medium	medium	reused		current	
html_w3c_css_grid2	html	w3c_specs	https://www.w3.org/TR/css-grid-2/	https://www.w3.org/TR/css-grid-2/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	disabled	reviewed_candidate	html/w3c_specs/medium/css_grid2.html	medium	small	reused		current	
html_w3c_webaudio	html	w3c_specs	https://www.w3.org/TR/webaudio/	https://www.w3.org/TR/webaudio/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	disabled	reviewed_candidate	html/w3c_specs/large/webaudio.html	large	medium	reused		current	
html_w3c_uievents	html	w3c_specs	https://www.w3.org/TR/uievents/	https://www.w3.org/TR/uievents/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	disabled	reviewed_candidate	html/w3c_specs/medium/uievents.html	medium	small	reused		current	
html_w3c_html_aria	html	w3c_specs	https://www.w3.org/TR/html-aria/	https://www.w3.org/TR/html-aria/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	disabled	reviewed_candidate	html/w3c_specs/medium/html_aria.html	medium	small	reused		current	
html_w3c_accname	html	w3c_specs	https://www.w3.org/TR/accname-1.2/	https://www.w3.org/TR/accname-1.2/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	disabled	reviewed_candidate	html/w3c_specs/medium/accname.html	medium	small	reused		current	
html_w3c_wai_aria	html	w3c_specs	https://www.w3.org/TR/wai-aria-1.2/	https://www.w3.org/TR/wai-aria-1.2/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	disabled	reviewed_candidate	html/w3c_specs/large/wai_aria.html	large	medium	reused		current	
html_w3c_payment_request	html	w3c_specs	https://www.w3.org/TR/payment-request/	https://www.w3.org/TR/payment-request/	LicenseRef-W3C-Document-2023	https://www.w3.org/copyright/document-license-2023/		yes	disabled	reviewed_candidate	html/w3c_specs/medium/payment_request.html	medium	small	reused		current	
epub_gutenberg_moby_dick	epub	gutenberg_books	https://www.gutenberg.org/cache/epub/2701/pg2701-images-3.epub	https://www.gutenberg.org/ebooks/2701	LicenseRef-Project-Gutenberg	https://www.gutenberg.org/policy/license.html		yes	disabled	reviewed_candidate	epub/gutenberg_books/small/pg2701-images-3.epub	small	small	reused		current	Project Gutenberg file retained with license/header context.
epub_gutenberg_pride	epub	gutenberg_books	https://www.gutenberg.org/cache/epub/1342/pg1342-images-3.epub	https://www.gutenberg.org/ebooks/1342	LicenseRef-Project-Gutenberg	https://www.gutenberg.org/policy/license.html		yes	disabled	reviewed_candidate	epub/gutenberg_books/medium/pg1342-images-3.epub	medium		failed	('Connection broken: IncompleteRead(156837 bytes read, 24678779 more expected)', IncompleteRead(156837 bytes read, 24678779 more expected))	current	Project Gutenberg file retained with license/header context.
epub_gutenberg_frankenstein	epub	gutenberg_books	https://www.gutenberg.org/cache/epub/84/pg84-images-3.epub	https://www.gutenberg.org/ebooks/84	LicenseRef-Project-Gutenberg	https://www.gutenberg.org/policy/license.html		yes	disabled	reviewed_candidate	epub/gutenberg_books/small/pg84-images-3.epub	small		failed	('Connection broken: IncompleteRead(180503 bytes read, 293858 more expected)', IncompleteRead(180503 bytes read, 293858 more expected))	current	Project Gutenberg file retained with license/header context.
epub_gutenberg_dracula	epub	gutenberg_books	https://www.gutenberg.org/cache/epub/345/pg345-images-3.epub	https://www.gutenberg.org/ebooks/345	LicenseRef-Project-Gutenberg	https://www.gutenberg.org/policy/license.html		yes	disabled	reviewed_candidate	epub/gutenberg_books/small/pg345-images-3.epub	small		failed	('Connection broken: IncompleteRead(234563 bytes read, 367811 more expected)', IncompleteRead(234563 bytes read, 367811 more expected))	current	Project Gutenberg file retained with license/header context.
epub_gutenberg_sherlock	epub	gutenberg_books	https://www.gutenberg.org/cache/epub/1661/pg1661-images-3.epub	https://www.gutenberg.org/ebooks/1661	LicenseRef-Project-Gutenberg	https://www.gutenberg.org/policy/license.html		yes	disabled	reviewed_candidate	epub/gutenberg_books/small/pg1661-images-3.epub	small	small	downloaded		current	Project Gutenberg file retained with license/header context.
epub_gutenberg_alice	epub	gutenberg_books	https://www.gutenberg.org/cache/epub/11/pg11-images-3.epub	https://www.gutenberg.org/ebooks/11	LicenseRef-Project-Gutenberg	https://www.gutenberg.org/policy/license.html		yes	smoke	reviewed_candidate	epub/gutenberg_books/small/pg11-images-3.epub	small	small	reused		current	Project Gutenberg file retained with license/header context.
epub_gutenberg_tale_two_cities	epub	gutenberg_books	https://www.gutenberg.org/cache/epub/98/pg98-images-3.epub	https://www.gutenberg.org/ebooks/98	LicenseRef-Project-Gutenberg	https://www.gutenberg.org/policy/license.html		yes	disabled	reviewed_candidate	epub/gutenberg_books/small/pg98-images-3.epub	small		failed	('Connection broken: IncompleteRead(222118 bytes read, 7699958 more expected)', IncompleteRead(222118 bytes read, 7699958 more expected))	current	Project Gutenberg file retained with license/header context.
epub_gutenberg_dorian_gray	epub	gutenberg_books	https://www.gutenberg.org/cache/epub/174/pg174-images-3.epub	https://www.gutenberg.org/ebooks/174	LicenseRef-Project-Gutenberg	https://www.gutenberg.org/policy/license.html		yes	disabled	reviewed_candidate	epub/gutenberg_books/small/pg174-images-3.epub	small	small	reused		current	Project Gutenberg file retained with license/header context.
