row_id,series,region,score,ratio,active,category,notes,url
66,series_15,amer,2442,0.066,true,stress,"row 66 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/66
67,series_16,latam,2479,0.067,false,delta,"row 67 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/67
68,series_0,apac,2516,0.068,true,baseline,"row 68 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/68
69,series_1,emea,2553,0.069,false,extended,"row 69 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/69
70,series_2,amer,2590,0.070,true,stress,"row 70 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/70
71,series_3,latam,2627,0.071,false,delta,"row 71 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/71
72,series_4,apac,2664,0.072,true,baseline,"row 72 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/72
73,series_5,emea,2701,0.073,false,extended,"row 73 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/73
74,series_6,amer,2738,0.074,true,stress,"row 74 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/74
75,series_7,latam,2775,0.075,false,delta,"row 75 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/75
76,series_8,apac,2812,0.076,true,baseline,"row 76 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/76
77,series_9,emea,2849,0.077,false,extended,"row 77 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/77
78,series_10,amer,2886,0.078,true,stress,"row 78 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/78
79,series_11,latam,2923,0.079,false,delta,"row 79 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/79
80,series_12,apac,2960,0.080,true,baseline,"row 80 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/80
81,series_13,emea,2997,0.081,false,extended,"row 81 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/81
82,series_14,amer,3034,0.082,true,stress,"row 82 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/82
83,series_15,latam,3071,0.083,false,delta,"row 83 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/83
84,series_16,apac,3108,0.084,true,baseline,"row 84 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/84
85,series_0,emea,3145,0.085,false,extended,"row 85 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/85
86,series_1,amer,3182,0.086,true,stress,"row 86 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/86
87,series_2,latam,3219,0.087,false,delta,"row 87 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/87
88,series_3,apac,3256,0.088,true,baseline,"row 88 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/88
89,series_4,emea,3293,0.089,false,extended,"row 89 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/89
90,series_5,amer,3330,0.090,true,stress,"row 90 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/90
91,series_6,latam,3367,0.091,false,delta,"row 91 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/91
92,series_7,apac,3404,0.092,true,baseline,"row 92 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/92
93,series_8,emea,3441,0.093,false,extended,"row 93 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/93
94,series_9,amer,3478,0.094,true,stress,"row 94 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/94
95,series_10,latam,3515,0.095,false,delta,"row 95 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/95
96,series_11,apac,3552,0.096,true,baseline,"row 96 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/96
97,series_12,emea,3589,0.097,false,extended,"row 97 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/97
98,series_13,amer,3626,0.098,true,stress,"row 98 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/98
99,series_14,latam,3663,0.099,false,delta,"row 99 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/99
100,series_15,apac,3700,0.100,true,baseline,"row 100 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/100
101,series_16,emea,3737,0.101,false,extended,"row 101 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/101
102,series_0,amer,3774,0.102,true,stress,"row 102 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/102
103,series_1,latam,3811,0.103,false,delta,"row 103 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/103
104,series_2,apac,3848,0.104,true,baseline,"row 104 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/104
105,series_3,emea,3885,0.105,false,extended,"row 105 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/105
106,series_4,amer,3922,0.106,true,stress,"row 106 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/106
107,series_5,latam,3959,0.107,false,delta,"row 107 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/107
108,series_6,apac,3996,0.108,true,baseline,"row 108 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/108
109,series_7,emea,4033,0.109,false,extended,"row 109 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/109
110,series_8,amer,4070,0.110,true,stress,"row 110 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/110
111,series_9,latam,4107,0.111,false,delta,"row 111 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/111
112,series_10,apac,4144,0.112,true,baseline,"row 112 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/112
113,series_11,emea,4181,0.113,false,extended,"row 113 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/113
114,series_12,amer,4218,0.114,true,stress,"row 114 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/114
115,series_13,latam,4255,0.115,false,delta,"row 115 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/115
116,series_14,apac,4292,0.116,true,baseline,"row 116 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/116
117,series_15,emea,4329,0.117,false,extended,"row 117 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/117
118,series_16,amer,4366,0.118,true,stress,"row 118 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/118
119,series_0,latam,4403,0.119,false,delta,"row 119 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/119
120,series_1,apac,4440,0.120,true,baseline,"row 120 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/120
121,series_2,emea,4477,0.121,false,extended,"row 121 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/121
122,series_3,amer,4514,0.122,true,stress,"row 122 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/122
123,series_4,latam,4551,0.123,false,delta,"row 123 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/123
124,series_5,apac,4588,0.124,true,baseline,"row 124 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/124
125,series_6,emea,4625,0.125,false,extended,"row 125 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/125
126,series_7,amer,4662,0.126,true,stress,"row 126 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/126
127,series_8,latam,4699,0.127,false,delta,"row 127 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/127
128,series_9,apac,4736,0.128,true,baseline,"row 128 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/128
129,series_10,emea,4773,0.129,false,extended,"row 129 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/129
130,series_11,amer,4810,0.130,true,stress,"row 130 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/130
131,series_12,latam,4847,0.131,false,delta,"row 131 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/131
132,series_13,apac,4884,0.132,true,baseline,"row 132 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/132
133,series_14,emea,4921,0.133,false,extended,"row 133 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/133
134,series_15,amer,4958,0.134,true,stress,"row 134 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/134
135,series_16,latam,4995,0.135,false,delta,"row 135 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/135
136,series_0,apac,5032,0.136,true,baseline,"row 136 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/136
137,series_1,emea,5069,0.137,false,extended,"row 137 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/137
138,series_2,amer,5106,0.138,true,stress,"row 138 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/138
139,series_3,latam,5143,0.139,false,delta,"row 139 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/139
140,series_4,apac,5180,0.140,true,baseline,"row 140 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/140
141,series_5,emea,5217,0.141,false,extended,"row 141 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/141
142,series_6,amer,5254,0.142,true,stress,"row 142 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/142
143,series_7,latam,5291,0.143,false,delta,"row 143 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/143
144,series_8,apac,5328,0.144,true,baseline,"row 144 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/144
145,series_9,emea,5365,0.145,false,extended,"row 145 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/145
146,series_10,amer,5402,0.146,true,stress,"row 146 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/146
147,series_11,latam,5439,0.147,false,delta,"row 147 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/147
148,series_12,apac,5476,0.148,true,baseline,"row 148 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/148
149,series_13,emea,5513,0.149,false,extended,"row 149 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/149
150,series_14,amer,5550,0.150,true,stress,"row 150 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/150
151,series_15,latam,5587,0.151,false,delta,"row 151 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/151
152,series_16,apac,5624,0.152,true,baseline,"row 152 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/152
153,series_0,emea,5661,0.153,false,extended,"row 153 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/153
154,series_1,amer,5698,0.154,true,stress,"row 154 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/154
155,series_2,latam,5735,0.155,false,delta,"row 155 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/155
156,series_3,apac,5772,0.156,true,baseline,"row 156 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/156
157,series_4,emea,5809,0.157,false,extended,"row 157 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/157
158,series_5,amer,5846,0.158,true,stress,"row 158 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/158
159,series_6,latam,5883,0.159,false,delta,"row 159 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/159
160,series_7,apac,5920,0.160,true,baseline,"row 160 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/160
161,series_8,emea,5957,0.161,false,extended,"row 161 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/161
162,series_9,amer,5994,0.162,true,stress,"row 162 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/162
163,series_10,latam,6031,0.163,false,delta,"row 163 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/163
164,series_11,apac,6068,0.164,true,baseline,"row 164 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/164
165,series_12,emea,6105,0.165,false,extended,"row 165 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/165
166,series_13,amer,6142,0.166,true,stress,"row 166 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/166
167,series_14,latam,6179,0.167,false,delta,"row 167 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/167
168,series_15,apac,6216,0.168,true,baseline,"row 168 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/168
169,series_16,emea,6253,0.169,false,extended,"row 169 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/169
170,series_0,amer,6290,0.170,true,stress,"row 170 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/170
171,series_1,latam,6327,0.171,false,delta,"row 171 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/171
172,series_2,apac,6364,0.172,true,baseline,"row 172 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/172
173,series_3,emea,6401,0.173,false,extended,"row 173 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/173
174,series_4,amer,6438,0.174,true,stress,"row 174 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/174
175,series_5,latam,6475,0.175,false,delta,"row 175 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/175
176,series_6,apac,6512,0.176,true,baseline,"row 176 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/176
177,series_7,emea,6549,0.177,false,extended,"row 177 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/177
178,series_8,amer,6586,0.178,true,stress,"row 178 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/178
179,series_9,latam,6623,0.179,false,delta,"row 179 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/179
180,series_10,apac,6660,0.180,true,baseline,"row 180 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/180
181,series_11,emea,6697,0.181,false,extended,"row 181 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/181
182,series_12,amer,6734,0.182,true,stress,"row 182 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/182
183,series_13,latam,6771,0.183,false,delta,"row 183 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/183
184,series_14,apac,6808,0.184,true,baseline,"row 184 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/184
185,series_15,emea,6845,0.185,false,extended,"row 185 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/185
186,series_16,amer,6882,0.186,true,stress,"row 186 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/186
187,series_0,latam,6919,0.187,false,delta,"row 187 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/187
188,series_1,apac,6956,0.188,true,baseline,"row 188 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/188
189,series_2,emea,6993,0.189,false,extended,"row 189 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/189
190,series_3,amer,7030,0.190,true,stress,"row 190 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/190
191,series_4,latam,7067,0.191,false,delta,"row 191 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/191
192,series_5,apac,7104,0.192,true,baseline,"row 192 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/192
193,series_6,emea,7141,0.193,false,extended,"row 193 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/193
194,series_7,amer,7178,0.194,true,stress,"row 194 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/194
195,series_8,latam,7215,0.195,false,delta,"row 195 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/195
196,series_9,apac,7252,0.196,true,baseline,"row 196 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/196
197,series_10,emea,7289,0.197,false,extended,"row 197 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/197
198,series_11,amer,7326,0.198,true,stress,"row 198 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/198
199,series_12,latam,7363,0.199,false,delta,"row 199 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/199
200,series_13,apac,7400,0.200,true,baseline,"row 200 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/200
201,series_14,emea,7437,0.201,false,extended,"row 201 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/201
202,series_15,amer,7474,0.202,true,stress,"row 202 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/202
203,series_16,latam,7511,0.203,false,delta,"row 203 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/203
204,series_0,apac,7548,0.204,true,baseline,"row 204 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/204
205,series_1,emea,7585,0.205,false,extended,"row 205 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/205
206,series_2,amer,7622,0.206,true,stress,"row 206 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/206
207,series_3,latam,7659,0.207,false,delta,"row 207 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/207
208,series_4,apac,7696,0.208,true,baseline,"row 208 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/208
209,series_5,emea,7733,0.209,false,extended,"row 209 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/209
210,series_6,amer,7770,0.210,true,stress,"row 210 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/210
211,series_7,latam,7807,0.211,false,delta,"row 211 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/211
212,series_8,apac,7844,0.212,true,baseline,"row 212 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/212
213,series_9,emea,7881,0.213,false,extended,"row 213 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/213
214,series_10,amer,7918,0.214,true,stress,"row 214 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/214
215,series_11,latam,7955,0.215,false,delta,"row 215 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/215
216,series_12,apac,7992,0.216,true,baseline,"row 216 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/216
217,series_13,emea,8029,0.217,false,extended,"row 217 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/217
218,series_14,amer,8066,0.218,true,stress,"row 218 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/218
219,series_15,latam,8103,0.219,false,delta,"row 219 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/219
220,series_16,apac,8140,0.220,true,baseline,"row 220 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/220
221,series_0,emea,8177,0.221,false,extended,"row 221 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/221
222,series_1,amer,8214,0.222,true,stress,"row 222 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/222
223,series_2,latam,8251,0.223,false,delta,"row 223 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/223
224,series_3,apac,8288,0.224,true,baseline,"row 224 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/224
225,series_4,emea,8325,0.225,false,extended,"row 225 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/225
226,series_5,amer,8362,0.226,true,stress,"row 226 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/226
227,series_6,latam,8399,0.227,false,delta,"row 227 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/227
228,series_7,apac,8436,0.228,true,baseline,"row 228 with unicode 北京 and markdown-like pipe | plus quoted text",https://example.com/data/228
