id	format	path	source_type	source_id	license_status	license_review_status	privacy	size_class	features	expected_signals	quality_tier	original_url	local_cache_path	notes	proposed_rel_path	migration_action	migration_note	quality_tags	quality_note	proposed_expected_fail	proposed_skip_reason	validation_view
pptx_callout_blocks_basic_repo_accurate_counts	pptx	external_accurate/repo_local/pptx/pptx_callout_blocks_basic.pptx	tool_fixture	markitdown_repo_office_samples	Apache-2.0	approved	repo_tracked	small	pptx;reading_order;accurate;repo_sample;count_guard	no_empty_output;exact_count:### Release Notes=1;exact_count:Export=1;exact_count:Security=1;exact_count:Sharing=1;exact_count:Markdown and PDF output=1;exact_count:Secure by default=1;exact_count:Team access controls=1;order:### Release Notes|Export|Security|Sharing|Markdown and PDF output|Secure by default|Team access controls	gate	https://github.com/ZSeanYves/markitdown/blob/main/external_accurate/repo_local/pptx/pptx_callout_blocks_basic.pptx	external_accurate/repo_local/pptx	Local-only repo PPTX accurate guard on callout reading-order recovery; catches regressions back to source-order emission.								markdown
odt_annotation_debug	odt	external_accurate/odt/odf-toolkit/_annotation.odt	tool_fixture	odf_toolkit_tests	Apache-2.0	approved	external_cache	small	odt;accurate;comments_appendix	no_empty_output;contains:odt_comments_appendix;contains:odt_rich_notes;contains:YEAH!!!	gate	https://github.com/tdf/odftoolkit/blob/master/odfdom/src/test/resources/test-input/_annotation.odt	external_accurate/odt/odf-toolkit	ODF Toolkit annotation accurate debug guard; keeps comment-appendix and rich-note evidence visible in the debug metrics.								debug
odt_footnote_debug	odt	external_accurate/odt/odf-toolkit/footnote.odt	tool_fixture	odf_toolkit_tests	Apache-2.0	approved	external_cache	small	odt;accurate;rich_notes	no_empty_output;contains:odt_rich_notes;contains:odt_comments_appendix;contains:A footnote?	gate	https://github.com/tdf/odftoolkit/blob/master/odfdom/src/test/resources/test-input/footnote.odt	external_accurate/odt/odf-toolkit	ODF Toolkit note accurate debug guard; keeps rich-note feature evidence visible on the debug surface.								debug
ods_covered_spans_markdown	ods	external_accurate/ods/odf-toolkit/MergedCells.ods	tool_fixture	odf_toolkit_tests	Apache-2.0	approved	external_cache	small	ods;accurate;covered_cell_spans	no_empty_output;contains_all:<table>|rowspan="6">a</th>|rowspan="9" colspan="5">b</td>|colspan="5">c</td>;max_count:| a |=0	gate	https://github.com/tdf/odftoolkit/blob/master/odfdom/src/test/resources/test-input/MergedCells.ods	external_accurate/ods/odf-toolkit	ODF Toolkit merged-cells accurate guard; requires covered-cell spans to lower as HTML table spans instead of the balanced flat table.								markdown
odp_slide_summary_debug	odp	external_accurate/odp/odf-toolkit/SlideTest1.odp	tool_fixture	odf_toolkit_tests	Apache-2.0	approved	external_cache	small	odp;accurate;slide_summary	no_empty_output;contains:odp_slide_summary;contains:odp_notes_appendix;contains:[Slide 1]	gate	https://github.com/tdf/odftoolkit/blob/master/odfdom/src/test/resources/test-input/SlideTest1.odp	external_accurate/odp/odf-toolkit	ODF Toolkit single-slide accurate debug guard; keeps slide-summary feature evidence visible on the debug surface.								debug
odp_presentation_debug	odp	external_accurate/odp/odf-toolkit/presentation.odp	tool_fixture	odf_toolkit_tests	Apache-2.0	approved	external_cache	medium	odp;accurate;notes_appendix	no_empty_output;contains:odp_notes_appendix;contains:odp_slide_summary;contains:slide-name-2	gate	https://github.com/tdf/odftoolkit/blob/master/odfdom/src/test/resources/test-input/presentation.odp	external_accurate/odp/odf-toolkit	ODF Toolkit multi-slide accurate debug guard; keeps notes-path feature evidence visible on the debug surface.								debug
ocr_commons_layout_debug	ocr	external_accurate/ocr/commons/samples/layout/ocr_layout_commons_daily_exchange_0001.jpg	wikimedia_commons	ocr_src_0028	Public domain	approved	external_cache	medium	ocr;accurate;provider_truth;layout	no_empty_output;contains:ocr_provider_name;contains:paddle_ocr;contains:jpg_canonical_layout_two_stage;contains:THE DAILY EXCHANGE.;not_contains:image_ocr_provider_fallback	gate	https://commons.wikimedia.org/wiki/File%3AImage_579x817_from_0%2C8_to_7224%2C10200.jpg	external_accurate/ocr/commons	Commons daily-exchange image accurate debug guard; proves that the direct-image accurate path used PaddleOCR instead of falling back.								debug
pdf_irs_w4_born_digital_provenance	pdf	external_accurate/pdf/irs/samples/forms/pdf_form_irs_fw4_0001.pdf	government_public	irs_forms_public	USGov-PD-reviewed	approved	external_cache	medium	pdf;accurate;born_digital;layout_two_stage;provenance	no_empty_output;contains_all:layout_two_stage|pdf_accurate_layout_two_stage|pdf_accurate;not_contains:image_ocr_provider_fallback;not_contains:pdf_canonical_page_single_pass	gate	https://www.irs.gov/pub/irs-pdf/fw4.pdf	external_accurate/pdf/irs	IRS W-4 accurate provenance guard on the canonical accurate PDF route; proves that born-digital accurate PDF still uses the LayoutTwoStage contract while healthy native-text pages can stay native without forced Paddle OCR.								provenance
pdf_niosh_scanned_like_debug	pdf	external_accurate/pdf/niosh/samples/manuals/pdf_manual_niosh_2023_113_0001.pdf	government_public	niosh_publications	public_domain	approved	external_cache	large	pdf;accurate;scanned_like;layout_two_stage;provider_truth	no_empty_output;contains_all:layout_two_stage|pdf_accurate_layout_two_stage|pdf_accurate|paddle_ocr|Safety and Health at work;not_contains:image_ocr_provider_fallback	gate	https://www.cdc.gov/niosh/docs/2023-113/2023-113.pdf	external_accurate/pdf/niosh	NIOSH accurate debug guard on the canonical accurate PDF route; keeps the Paddle-backed layout path explicit without relying on the removed scanned-like auto-upgrade contract.								debug
pdf_ocr_single_page_repo_accurate	pdf	external_accurate/repo_local/pdf/ocr/pdf_ocr_single_page.pdf	tool_fixture	markitdown_repo_pdf_samples	Apache-2.0	approved	repo_tracked	small	pdf;accurate;pdf_ocr;repo_sample;layout_two_stage	no_empty_output;contains_all:MoonBit OCR|Sample 123;exact_count:MoonBit OCR=1;exact_count:Sample 123=1	gate	https://github.com/ZSeanYves/markitdown/tree/main/markitdown-quality-lab/external_accurate/repo_local/pdf/ocr	external_accurate/repo_local/pdf/ocr	Local-only repo single-page scanned PDF accurate guard; keeps the dedicated accurate PDF OCR route anchored to a tiny deterministic OCR sample with stable visible text recovery.								markdown
pdf_ocr_two_page_repo_accurate	pdf	external_accurate/repo_local/pdf/ocr/pdf_ocr_two_page.pdf	tool_fixture	markitdown_repo_pdf_samples	Apache-2.0	approved	repo_tracked	small	pdf;accurate;pdf_ocr;repo_sample;layout_two_stage;multi_page	no_empty_output;contains_all:MoonBit OCR|Sample 123;exact_count:MoonBit OCR=2;exact_count:Sample 123=2;order:MoonBit OCR|Sample 123|MoonBit OCR|Sample 123	gate	https://github.com/ZSeanYves/markitdown/tree/main/markitdown-quality-lab/external_accurate/repo_local/pdf/ocr	external_accurate/repo_local/pdf/ocr	Local-only repo two-page scanned PDF accurate guard; keeps multi-page OCR aggregation on the canonical accurate PDF route with stable visible text ordering.								markdown
