id	format	path	source_type	source_id	license_status	license_review_status	privacy	size_class	features	expected_signals	quality_tier	original_url	local_cache_path	notes
md_test_epub_body_order_counts	epub	external_quality/epub/markitdown/test.epub	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	small	epub;spine;chapter_order;blockquote	no_empty_output;exact_count:# EPUB/chap_1.xhtml=1;exact_count:# Chapter 1: Test Content=1;exact_count:- A bullet point=1;exact_count:- Another point=1;exact_count:# EPUB/chap_2.xhtml=1;exact_count:# Chapter 2: More Content=1;exact_count:> This is a blockquote for testing.=1;order:# EPUB/chap_1.xhtml|# Chapter 1: Test Content|- A bullet point|- Another point|# EPUB/chap_2.xhtml|# Chapter 2: More Content|> This is a blockquote for testing.	gate	https://github.com/microsoft/markitdown	external_quality/epub/markitdown	Local-only EPUB chapter/body-order guard on upstream MarkItDown sample; catches spine-order drift, duplicate headings, or dropped list/blockquote blocks
epub_multimedia_idpf_epub30_test_0100	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0100.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	large	epub;spine;multimedia;remote_resource;metadata	no_empty_output;contains_all:Reflowable EPUB 3 Conformance Test Document: 0100|Content Documents: XHTML|audio-040 The audio element: remote resources|video-050 The video element: Captions (WebVTT)|trigger-010 The trigger element: play	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0100	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample repacked locally from the official exploded package; exercises XHTML spine order plus remote manifest multimedia sidecars that must not abort lower-layer package open
epub_styling_idpf_epub30_test_0101	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0101.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;spine;nav;list;metadata	no_empty_output;contains_all:EPUB 3 Styling Test Document: 0101|EPUB Style Sheets|style-110 Multi-Column Layouts|style-009 decimal|hiragana-iroha	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0101	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample repacked locally from the official exploded package; useful external control for EPUB spine/nav ordering plus list-heavy XHTML chapters
epub_scripting_idpf_epub30_test_0102	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0102.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;spine;scripting;commented_manifest;metadata	no_empty_output;contains_all:EPUB 3 Scripting Test Document: 0102|Scripting and Interactivity|readingSystemObject|XMLHttpRequest|Forms	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0102	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample repacked locally from the official exploded package; exposed an OPF parser robustness issue where commented-out manifest items must stay ignored rather than duplicating live ids
epub_scripting_idpf_epub30_test_0102_counts	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0102.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;spine;scripting;commented_manifest;forms;count_guard	no_empty_output;exact_count:# EPUB/xhtml/front.xhtml=1;exact_count:# EPUB 3 Scripting Test Document: 0102=1;exact_count:# EPUB/xhtml/scripting-001.xhtml=1;exact_count:# Scripting and Interactivity=1;exact_count:# EPUB/xhtml/scripting-002.xhtml=1;exact_count:## readingSystemObject=1;exact_count:# EPUB/xhtml/scripting-003.xhtml=1;exact_count:## XMLHttpRequest=1;exact_count:# EPUB/xhtml/forms-001.xhtml=1;exact_count:## Forms=1;exact_count:# EPUB/xhtml/forms-002.xhtml=1;exact_count:### Input Types=1;not_contains:-->;not_contains:<script;not_contains:<style;not_contains:<item;order:# EPUB/xhtml/front.xhtml|# EPUB 3 Scripting Test Document: 0102|# EPUB/xhtml/scripting-001.xhtml|# Scripting and Interactivity|# EPUB/xhtml/scripting-002.xhtml|## readingSystemObject|# EPUB/xhtml/scripting-003.xhtml|## XMLHttpRequest|# EPUB/xhtml/forms-001.xhtml|## Forms|# EPUB/xhtml/forms-002.xhtml|### Input Types	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0102	external_quality/epub/idpf-epub-testsuite	Local-only strong scripting/spine guard on the IDPF 0102 EPUB sample; catches reordered scripting/forms sections, commented-manifest leakage, or raw markup bleed beyond the earlier broad contains-all row
epub_layout_flow_idpf_epub30_test_0110	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0110.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;spine;longform;xhtml;metadata	no_empty_output;contains_all:Layout Flow Document: 0110|flow-010 Paginated Flow|Chapter 1. Loomings.|Chapter 2. The Carpet-Bag.	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0110	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample with long-form XHTML chapters and layout-flow frontmatter; useful positive control for large spine sections after package-open hardening
epub_cfi_idpf_epub30_test_0140	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0140.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	large	epub;link;internal_ref;external_ref;comment_boundary	no_empty_output;contains_all:EPUB CFI Conformance Test Document: 0140|Intra-Publication Linking|Click to test path|Target location correction|Link to Chapter 1 of Moby Dick;link_ref;not_contains:-->	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0140	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample with intra-publication CFI links, external publication links, and a commented-out optional block; useful external guard that comment tails do not leak into normal Markdown while visible links stay intact
epub_nav_idpf_epub30_test_0150	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0150.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;nav;landmarks;page_list;custom_nav	no_empty_output;contains_all:EPUB Navigation Documents: 0150|landmarks nav|page-list nav|Custom nav elements|Glossary|110	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0150	external_quality/epub/idpf-epub-testsuite	CC-BY-4.0 IDPF EPUB Test Suite sample with nav-in-spine content, landmarks/page-list/custom-nav prose, and fragment-bearing target documents; useful external guard for EPUB nav/text aggregation after package-open hardening
epub_nav_idpf_epub30_test_0150_counts	epub	external_quality/epub/idpf-epub-testsuite/epub30-test-0150.epub	tool_fixture	idpf_epub_testsuite	CC-BY-4.0	approved	external_cache	medium	epub;nav;spine;landmarks;page_list;custom_nav;count_guard	no_empty_output;exact_count:# EPUB/xhtml/front.xhtml=1;exact_count:# EPUB Navigation Documents: 0150=1;exact_count:# EPUB/xhtml/epubnav-001.xhtml=1;exact_count:# Navigation Documents=1;exact_count:## toc nav=1;exact_count:## landmarks nav=1;exact_count:## page-list nav=1;exact_count:## Custom nav elements=1;exact_count:## Spine rendering=1;exact_count:# EPUB/xhtml/testdoc-001.xhtml=1;exact_count:# Index=1;exact_count:If the number 110 is visible between two paragraphs on the page that loads, the test passes.=1;exact_count:## Glossary=1;not_contains:<script;not_contains:-->;order:# EPUB/xhtml/front.xhtml|# EPUB Navigation Documents: 0150|# EPUB/xhtml/epubnav-001.xhtml|# Navigation Documents|## toc nav|## landmarks nav|## page-list nav|## Custom nav elements|## Spine rendering|# EPUB/xhtml/testdoc-001.xhtml|# Index	reference	https://github.com/IDPF/epub-testsuite/tree/main/content/30/epub30-test-0150	external_quality/epub/idpf-epub-testsuite	Local-only strong nav/spine guard on the IDPF 0150 EPUB sample; catches reordered nav-in-spine sections, leaked markup, and duplicate nav headings beyond the earlier broad contains-all row
md_test_pdf	pdf	external_quality/pdf/markitdown/test.pdf	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	medium	paragraph_order	no_empty_output;contains:While there is contemporaneous exploration;not_contains:Whilethereis;max_long_token_len:80	reference	https://github.com/microsoft/markitdown	external_quality/pdf/markitdown	text-pdf reference with degraded spacing
md_sparse_table_pdf	pdf	external_quality/pdf/markitdown/SPARSE-2024-INV-1234_borderless_table.pdf	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	small	table_like;image_ref	no_empty_output;contains:INVENTORY RECONCILIATION REPORT;contains:Warehouse: Distribution Center East;image_ref	reference	https://github.com/microsoft/markitdown	external_quality/pdf/markitdown	pdf layout/table reference from upstream tests
paddle_layout_reference_pdf	pdf	sources/paddleocr/ppstructure_reference.pdf	tool_fixture	paddleocr_ppstructure_samples	needs_review	pending_review	external_cache	unknown	layout_reference	no_empty_output	reference	https://github.com/PaddlePaddle/PaddleOCR	external_quality/archive/unknown_source_or_format/paddleocr	placeholder only; keep pending until a reviewed local file is added
pandoc_usersguide_docx	docx	external_quality/docx/pandoc/demo/UsersGuide.docx	tool_fixture	pandoc_tests	needs_review	approved	external_cache	medium	heading;list;table;link;metadata	no_empty_output;contains:Pandoc User’s Guide;contains_all:Synopsis|Description|Using pandoc	reference	https://github.com/jgm/pandoc	external_quality/docx/pandoc/demo	curated from pandoc.org demo after local source/license review
pandoc_manual_epub	epub	external_quality/epub/pandoc/demo/MANUAL.epub	tool_fixture	pandoc_tests	needs_review	approved	external_cache	medium	epub_spine;heading;metadata;link	no_empty_output;contains:Table of Contents;contains_all:Synopsis|Description|Using pandoc	reference	https://github.com/jgm/pandoc	external_quality/epub/pandoc/demo	curated from pandoc.org demo after local source/license review
pandoc_biblio_html	html	external_quality/html/pandoc/demo/biblio.html	tool_fixture	pandoc_tests	needs_review	approved	external_cache	small	html;citation;metadata	no_empty_output;contains:First book;contains:Journal of Generic Studies	reference	https://github.com/jgm/pandoc	external_quality/html/pandoc/demo	small html bibliography smoke from pandoc.org demo after local source/license review
pandoc_manual_txt	txt	external_quality/txt/pandoc/demo/MANUAL.txt	tool_fixture	pandoc_tests	needs_review	approved	external_cache	medium	heading;metadata;plain_text	no_empty_output;contains:Pandoc User's Guide;contains_all:Synopsis|Description|Using pandoc	reference	https://github.com/jgm/pandoc	external_quality/txt/pandoc/demo	small pandoc.org manual text smoke after local source/license review
pandoc_biblio_json	json	external_quality/json/pandoc/demo/biblio.json	tool_fixture	pandoc_tests	needs_review	approved	external_cache	small	json;citation;metadata	no_empty_output;contains_all:First book|Journal of Generic Studies	reference	https://github.com/jgm/pandoc	external_quality/json/pandoc/demo	small pandoc.org bibliography json smoke after local source/license review
pandoc_biblio_yaml	yaml	external_quality/yaml/pandoc/demo/biblio.yaml	tool_fixture	pandoc_tests	needs_review	approved	external_cache	small	yaml;citation;metadata	no_empty_output;contains_all:First book|Journal of Generic Studies	reference	https://github.com/jgm/pandoc	external_quality/yaml/pandoc/demo	Pandoc bibliography YAML now parses as normal coverage after YAML single-document marker and nested-sequence hardening; true multi-document streams remain unsupported as a separate boundary
xml_namespace_cpython_simple_ns	xml	external_quality/xml/cpython/simple-ns.xml	tool_fixture	cpython_xml_tests	PSF-2.0	approved	external_cache	small	xml;namespace;processing_instruction;comment;literal_passthrough	no_empty_output;contains_all:<?pi data?>|<!-- comment -->|<root xmlns='namespace'>|<element key='value'>text</element>|<empty-element/>	reference	https://github.com/python/cpython/blob/main/Lib/test/xmltestdata/simple-ns.xml	external_quality/xml/cpython	PSF-2.0 CPython XML fixture with a namespace declaration, PI, comment, tail text, and empty element; current normal XML path should preserve the source literally inside a fenced XML block
xml_utf8_long_attr_cpython_expat224_bug	xml	external_quality/xml/cpython/expat224_utf8_bug.xml	tool_fixture	cpython_xml_tests	PSF-2.0	approved	external_cache	medium	xml;utf8;cjk;long_attribute;literal_passthrough	no_empty_output;contains_all:<a b='01234567890123456|古人咏雪抽幽思骋妍辞竞险韵|弘治戊午仲冬望日慈溪杨子器	reference	https://github.com/python/cpython/blob/main/Lib/test/xmltestdata/expat224_utf8_bug.xml	external_quality/xml/cpython	PSF-2.0 CPython XML fixture used for Expat UTF-8 regression coverage; current normal XML path should preserve the long mixed CJK attribute payload literally inside a fenced XML block
xml_iso_8859_1_cpython_test	xml	external_quality/xml/cpython/test.xml	tool_fixture	cpython_xml_tests	PSF-2.0	approved	external_cache	medium	xml;encoding_decl;iso_8859_1;literal_passthrough	no_empty_output;contains_all:<?xml version="1.0" encoding="iso-8859-1"?>|Introduction to XSL|Who are you?|µ;not_contains:utf8 decode failed	reference	https://github.com/python/cpython/blob/main/Lib/test/xmltestdata/test.xml	external_quality/xml/cpython	PSF-2.0 CPython XML fixture declared as iso-8859-1; normal XML output should respect the source encoding declaration and preserve the literal XML content inside a fenced block instead of failing UTF-8 decode
md_test_rss_xml_literal_counts	xml	external_quality/xml/markitdown-repo/packages/markitdown/tests/test_files/test_rss.xml	tool_fixture	microsoft_markitdown_tests	needs_review	approved	external_cache	large	xml;rss;namespace;literal_passthrough	no_empty_output;exact_count:```xml=1;exact_count:<ns0:link href="https://blogs.microsoft.com/feed/" rel="self" type="application/rss+xml" />=1;exact_count:<dc:creator>Frank X. Shaw</dc:creator>=1;exact_count:<title>Ignite 2024: Why nearly 70% of the Fortune 500 now use Microsoft 365 Copilot</title>=1;exact_count:<title>The Official Microsoft Blog</title>=2;not_contains:<!--;not_contains:?>;order:```xml|<title>The Official Microsoft Blog</title>|<dc:creator>Frank X. Shaw</dc:creator>	gate	https://github.com/microsoft/markitdown	external_quality/xml/markitdown-repo/packages/markitdown/tests/test_files	Local-only RSS/XML literal passthrough guard on upstream MarkItDown fixture; catches namespace/creator/title loss or raw parser noise leakage
csv_quoted_newlines_csv_spectrum	csv	external_quality/csv/csv-spectrum/newlines.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;quoted_newline;table	no_empty_output;contains_all:Once upon<br>a time|5|6;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/newlines.csv	external_quality/csv/csv-spectrum	BSD-2-Clause csv-spectrum sample with an embedded newline inside a quoted field; normal output should preserve row structure and lower the embedded line break conservatively
csv_quotes_and_newlines_csv_spectrum	csv	external_quality/csv/csv-spectrum/quotes_and_newlines.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;quoted_newline;escaped_quotes;table	no_empty_output;contains_all:ha<br>"ha"<br>ha|3|4;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/quotes_and_newlines.csv	external_quality/csv/csv-spectrum	BSD-2-Clause csv-spectrum sample combining embedded newlines with escaped quotes inside one field; normal output should keep the field in one table cell with readable `<br>` breaks
csv_quotes_and_newlines_csv_spectrum_counts	csv	external_quality/csv/csv-spectrum/quotes_and_newlines.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;quoted_newline;escaped_quotes;count_guard;table	no_empty_output;exact_count:| a | b |=1;exact_count:| --- | --- |=1;exact_count:| 1 | ha<br>"ha"<br>ha |=1;exact_count:| 3 | 4 |=1;max_long_token_len:24;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/quotes_and_newlines.csv	external_quality/csv/csv-spectrum	Local-only quoted-newline/escaped-quote guard on the csv-spectrum sample; catches row collapse or quote artifact leakage while preserving the current `<br>` lowering inside one table cell
csv_comma_in_quotes_csv_spectrum	csv	external_quality/csv/csv-spectrum/comma_in_quotes.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;comma_in_quotes;table	no_empty_output;contains_all:| first | last | address | city | zip ||Anytown, WW|08123;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/comma_in_quotes.csv	external_quality/csv/csv-spectrum	BSD-2-Clause csv-spectrum sample with a comma inside a quoted city field; normal output should keep the row aligned and preserve the comma-bearing text in one cell
csv_comma_in_quotes_csv_spectrum_counts	csv	external_quality/csv/csv-spectrum/comma_in_quotes.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;comma_in_quotes;count_guard;table	no_empty_output;exact_count:| first | last | address | city | zip |=1;exact_count:| John | Doe | 120 any st. | Anytown, WW | 08123 |=1;max_long_token_len:24;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/comma_in_quotes.csv	external_quality/csv/csv-spectrum	Local-only comma-in-quotes guard on the csv-spectrum sample; catches delimiter drift that would split the quoted city field or duplicate the lone data row
csv_empty_fields_csv_spectrum	csv	external_quality/csv/csv-spectrum/empty.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;empty_fields;table	no_empty_output;contains_all:| 1 |  |  || 2 | 3 | 4 |;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/empty.csv	external_quality/csv/csv-spectrum	BSD-2-Clause csv-spectrum sample with explicit empty quoted cells; normal output should preserve column count and keep empty fields empty instead of collapsing cells
csv_empty_fields_csv_spectrum_counts	csv	external_quality/csv/csv-spectrum/empty.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;empty_fields;count_guard;table	no_empty_output;exact_count:| a | b | c |=1;exact_count:| --- | --- | --- |=1;exact_count:| 1 |  |  |=1;exact_count:| 2 | 3 | 4 |=1;table_marker;max_long_token_len:20	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/empty.csv	external_quality/csv/csv-spectrum	Local-only empty-field guard on the csv-spectrum sample; catches collapsed explicit empty cells or delimiter drift on the tiny three-column table
csv_escaped_quotes_csv_spectrum	csv	external_quality/csv/csv-spectrum/escaped_quotes.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;escaped_quotes;table	no_empty_output;contains_all:ha "ha" ha|3|4;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/escaped_quotes.csv	external_quality/csv/csv-spectrum	BSD-2-Clause csv-spectrum sample with doubled quotes inside a quoted field; normal output should unescape them once while preserving the field as one cell
csv_escaped_quotes_csv_spectrum_counts	csv	external_quality/csv/csv-spectrum/escaped_quotes.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;escaped_quotes;count_guard;table	no_empty_output;exact_count:| a | b |=1;exact_count:| --- | --- |=1;exact_count:| 1 | ha "ha" ha |=1;exact_count:| 3 | 4 |=1;table_marker;max_long_token_len:20	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/escaped_quotes.csv	external_quality/csv/csv-spectrum	Local-only escaped-quote guard on the csv-spectrum sample; catches quote-unescape drift or row collapse while preserving the current one-cell lowering
csv_quoted_newlines_crlf_csv_spectrum	csv	external_quality/csv/csv-spectrum/newlines_crlf.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;quoted_newline;crlf;table	no_empty_output;contains_all:Once upon<br>a time|7|8|9;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/newlines_crlf.csv	external_quality/csv/csv-spectrum	BSD-2-Clause csv-spectrum sample combining CRLF line endings with an embedded newline inside a quoted cell; normal output should preserve both row boundaries and the intra-cell break conservatively
csv_quoted_newlines_crlf_csv_spectrum_counts	csv	external_quality/csv/csv-spectrum/newlines_crlf.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;quoted_newline;crlf;count_guard;table	no_empty_output;exact_count:| a | b | c |=1;exact_count:| --- | --- | --- |=1;exact_count:| 1 | 2 | 3 |=1;exact_count:| Once upon<br>a time | 5 | 6 |=1;exact_count:| 7 | 8 | 9 |=1;table_marker;max_long_token_len:24	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/newlines_crlf.csv	external_quality/csv/csv-spectrum	Local-only CRLF quoted-newline guard on the csv-spectrum sample; catches row-boundary collapse or intra-cell newline loss while preserving the current `<br>` lowering
csv_utf8_non_ascii_csv_spectrum	csv	external_quality/csv/csv-spectrum/utf8.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;utf8;non_ascii;table	no_empty_output;contains:ʤ;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/utf8.csv	external_quality/csv/csv-spectrum	BSD-2-Clause csv-spectrum sample with non-ASCII UTF-8 content in a plain cell; normal output should preserve the character without replacement or loss
csv_utf8_non_ascii_csv_spectrum_counts	csv	external_quality/csv/csv-spectrum/utf8.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;utf8;non_ascii;count_guard;table	no_empty_output;exact_count:| a | b | c |=1;exact_count:| 1 | 2 | 3 |=1;exact_count:| 4 | 5 | ʤ |=1;not_contains:�;max_long_token_len:16;table_marker	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/utf8.csv	external_quality/csv/csv-spectrum	Local-only UTF-8 non-ASCII guard on the csv-spectrum sample; catches replacement-glyph leakage or row-shape drift on a tiny non-ASCII table
csv_empty_fields_crlf_csv_spectrum_repo_counts	csv	external_quality/csv/csv-spectrum-repo/csvs/empty_crlf.csv	tool_fixture	csv_spectrum_tests	BSD-2-Clause	approved	external_cache	small	csv;crlf;empty_fields;count_guard;table	no_empty_output;exact_count:| a | b | c |=1;exact_count:| --- | --- | --- |=1;exact_count:| 1 |  |  |=1;exact_count:| 2 | 3 | 4 |=1;table_marker;max_long_token_len:20	reference	https://github.com/max-mapper/csv-spectrum/blob/master/csvs/empty_crlf.csv	external_quality/csv/csv-spectrum-repo/csvs	Local-only CRLF empty-field count guard on csv-spectrum repo sample; catches row collapse or delimiter drift on CRLF input with explicit empties
