split	label	label_group	threshold	total_gold_count	predicted_label_count	emitted_count	correct_emitted_count	high_conf_precision	recall_on_gold	prediction_coverage	abstain_or_block_count	meets_target_precision
heldout	footer_header_noise	runtime_eligible	0.65	695	697	672	661	0.9836	0.9511	0.9641	10451	true
heldout	footer_header_noise	runtime_eligible	0.70	695	697	665	655	0.9850	0.9424	0.9541	10458	true
heldout	footer_header_noise	runtime_eligible	0.75	695	697	653	645	0.9877	0.9281	0.9369	10470	true
heldout	footer_header_noise	runtime_eligible	0.80	695	697	648	642	0.9907	0.9237	0.9297	10475	true
heldout	footer_header_noise	runtime_eligible	0.85	695	697	639	634	0.9922	0.9122	0.9168	10484	true
heldout	footer_header_noise	runtime_eligible	0.90	695	697	630	626	0.9937	0.9007	0.9039	10493	true
heldout	footer_header_noise	runtime_eligible	0.95	695	697	606	603	0.9950	0.8676	0.8694	10517	true
heldout	page_number_noise	runtime_eligible	0.50	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	page_number_noise	runtime_eligible	0.55	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	page_number_noise	runtime_eligible	0.60	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	page_number_noise	runtime_eligible	0.65	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	page_number_noise	runtime_eligible	0.70	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	page_number_noise	runtime_eligible	0.75	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	page_number_noise	runtime_eligible	0.80	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	page_number_noise	runtime_eligible	0.85	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	page_number_noise	runtime_eligible	0.90	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	page_number_noise	runtime_eligible	0.95	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	keep_as_text	runtime_eligible	0.50	232	207	203	169	0.8325	0.7284	0.9807	10920	false
heldout	keep_as_text	runtime_eligible	0.55	232	207	197	165	0.8376	0.7112	0.9517	10926	false
heldout	keep_as_text	runtime_eligible	0.60	232	207	188	160	0.8511	0.6897	0.9082	10935	false
heldout	keep_as_text	runtime_eligible	0.65	232	207	178	154	0.8652	0.6638	0.8599	10945	false
heldout	keep_as_text	runtime_eligible	0.70	232	207	171	151	0.8830	0.6509	0.8261	10952	false
heldout	keep_as_text	runtime_eligible	0.75	232	207	161	147	0.9130	0.6336	0.7778	10962	true
heldout	keep_as_text	runtime_eligible	0.80	232	207	156	144	0.9231	0.6207	0.7536	10967	true
heldout	keep_as_text	runtime_eligible	0.85	232	207	148	139	0.9392	0.5991	0.7150	10975	true
heldout	keep_as_text	runtime_eligible	0.90	232	207	140	132	0.9429	0.5690	0.6763	10983	true
heldout	keep_as_text	runtime_eligible	0.95	232	207	119	117	0.9832	0.5043	0.5749	11004	true
heldout	uncertain	runtime_eligible	0.50	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	uncertain	runtime_eligible	0.55	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	uncertain	runtime_eligible	0.60	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	uncertain	runtime_eligible	0.65	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	uncertain	runtime_eligible	0.70	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	uncertain	runtime_eligible	0.75	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	uncertain	runtime_eligible	0.80	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	uncertain	runtime_eligible	0.85	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	uncertain	runtime_eligible	0.90	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	uncertain	runtime_eligible	0.95	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.50	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.55	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.60	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.65	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.70	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.75	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.80	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.85	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.90	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	form_row	report_only	0.95	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.50	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.55	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.60	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.65	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.70	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.75	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.80	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.85	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.90	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	link_text	report_only	0.95	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.50	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.55	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.60	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.65	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.70	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.75	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.80	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.85	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.90	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	code_like	report_only	0.95	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.50	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.55	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.60	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.65	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.70	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.75	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.80	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.85	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.90	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	separator	report_only	0.95	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.50	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.55	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.60	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.65	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.70	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.75	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.80	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.85	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.90	0	0	0	0	0.0000	0.0000	0.0000	11123	false
heldout	footnote_like	report_only	0.95	0	0	0	0	0.0000	0.0000	0.0000	11123	false
