sample_id	split	source_label	target_label	text_preview	caption_prefix_pattern	text_length_bucket	starts_with_enumeration_pattern	enumeration_prefix_kind	titlecase_ratio	uppercase_ratio	ends_with_period	section_number_prefix	short_text_score
doclaynet_heldout_4842_64420	heldout	List-item	list_item	[75] David Robert Inventors: Bryant, South James Clair Charleston; Nicholson, Saint Albans, both of W. Va.	none	medium	0	none	0.7500	0.1226	1	0	0.00
doclaynet_heldout_4771_63224	heldout	List-item	list_item	(52) U.S. Cl. CPC .......... (2013.01); C07C 309/42 C07C 309125 (2013.01); (2013.01); C07C 309/29 C07C (2013.01); (2013.01); 309/35 C07C 309/38 (2013.01); G03F 	none	very_long	1	decimal	0.0167	0.0990	0	1	0.00
doclaynet_heldout_4903_65735	heldout	List-item	list_item	(58) Field of Classification Search ............... 428/36.3, 428/36.7, 36.8, 36.91; 524/526, 571,572, 524/573, 574, 575, 575.5	none	long	1	decimal	0.1200	0.0236	0	1	0.00
doclaynet_heldout_4919_66084	heldout	List-item	list_item	Field of Classification Search ................... 524/123 (58) See application file for complete search history.	none	medium	0	none	0.2857	0.0354	1	0	0.00
doclaynet_heldout_4599_60552	heldout	List-item	list_item	(45) Date of publication and mention of the grant of the patent: 27.04.2011 Bulletin 2011/17	none	medium	1	decimal	0.1111	0.0217	0	1	0.00
doclaynet_heldout_4589_60368	heldout	List-item	list_item	(45) Date of publication and mention of the grant of the patent: 20.04.2011 Bulletin 2011/16	none	medium	1	decimal	0.1111	0.0217	0	1	0.00
doclaynet_heldout_4599_60567	heldout	List-item	list_item	(51) Int Cl.:	none	short	1	decimal	0.6667	0.1538	0	1	0.75
doclaynet_heldout_4589_60371	heldout	List-item	list_item	(51) Int Cl.: (2006.01) G06F1/32	none	medium	1	decimal	0.2857	0.1250	0	1	0.40
doclaynet_heldout_4586_60333	heldout	List-item	list_item	(43) Veröffentlichungstag: 07.04.2021 Patentblatt 2021/14	none	medium	1	decimal	0.2222	0.0351	0	1	0.40
doclaynet_heldout_4586_60346	heldout	List-item	list_item	(51) Int Cl.:	none	short	1	decimal	0.6667	0.1538	0	1	0.75
doclaynet_heldout_4823_64113	heldout	List-item	list_item	(43) SBA SERR29ZEAAGE (2017.4.6)	none	short	1	decimal	0.0000	0.4062	0	1	0.75
doclaynet_heldout_4827_64162	heldout	List-item	list_item	(11) 등록번호 10-0680003	none	short	1	decimal	0.0000	0.0000	0	1	0.75
doclaynet_heldout_4872_65033	heldout	List-item	list_item	Hartmut Knofel, Michael [75] Inventors: Odenthal; Brockelt, Leverkusen, both of Germany	none	medium	0	none	0.7273	0.0920	0	0	0.40
doclaynet_heldout_4893_65471	heldout	List-item	list_item	(71) Applicant: Cleobury Mortimer Kudos Blends Ltd., (GB)	none	medium	1	decimal	0.7500	0.1404	0	1	0.40
doclaynet_heldout_4893_65483	heldout	List-item	list_item	(52) U.S. Cl. CPC ............... A21D 2102 (2013.01); A21D 10104 (2013.01); A21D 21145 (2013.01); A23L 27182 (2016.08)	none	long	1	decimal	0.0476	0.1176	0	1	0.00
doclaynet_heldout_5022_67047	heldout	List-item	list_item	(51) International Patent Classification: B01J 13/10 C08L 33/26 (2006.0 1) (2006.0 1) 33/14 C08L 67/04 (2006.0 1) (2006.0 1) 01	none	long	1	decimal	0.1071	0.0709	0	1	0.00
doclaynet_heldout_4827_64163	heldout	List-item	list_item	(24) 등록일자 2007년02월01일	none	short	1	decimal	0.0000	0.0000	0	1	0.75
doclaynet_heldout_4834_64274	heldout	List-item	list_item	Hirotaka Uchiyama, (75) Inventors: Symmes Twp, OH Janese Christine O’Brien (US); Stickney, Wyoming, OH (US); Jonathan Robert Cetti, Fairfield, OH Ricky Ah-Man W	none	very_long	0	none	0.6341	0.1970	0	0	0.00
doclaynet_heldout_4735_62611	heldout	List-item	list_item	Jae Chang Jung; Keun Kyu Kong; (75) Inventors: Myoung Soo Kim; Hyoung Gi Kim; Hyeong Soo Kim; Ki Ho Baik, all of (KR) Kyoungki-do	none	long	0	none	0.8000	0.1705	0	0	0.00
doclaynet_heldout_4823_64114	heldout	List-item	list_item	(51) Int.Cl. COOK 3/14 (2006. 01) HO1L 21/304 (2006.01) B24B 37/00 (2012, 01) CogG 18 (2006. 01)	none	long	1	decimal	0.0909	0.1354	0	1	0.00
doclaynet_heldout_4823_64128	heldout	List-item	list_item	Fl CO9K 3/14 HOLL 21/304 B24B 37/00 CO9G 1/02	none	medium	0	none	0.0769	0.2889	0	0	0.00
doclaynet_heldout_4662_61540	heldout	List-item	list_item	(75) Inventors: Concord, NC Kenneth Gonsalves, Charlotte, (US); Mohammed Azam Ali, NC (US)	none	medium	1	decimal	0.6154	0.1778	0	1	0.00
doclaynet_heldout_4906_65789	heldout	List-item	list_item	Johannes Benkhoff, (75) Inventors: Basel (CH); Bernd Lamatsch, Riehen (CH)	none	medium	0	none	0.7000	0.1486	0	0	0.40
doclaynet_heldout_4923_66174	heldout	List-item	list_item	Matthew Stewart Gebhart, (75) Inventors: New Deborah Gay Britain, PA (US); Bonnie Fradkin, Horsham, PA (US); Elizabeth Baker, Erdenheim, PA (US); John Michael F	none	very_long	0	none	0.6667	0.1941	0	0	0.00
doclaynet_heldout_4788_63473	heldout	List-item	list_item	(71) Applicant: Tokyo Shin-Etsu Chemical Co., Ltd., (JP)	none	medium	1	decimal	0.7778	0.1607	0	1	0.40
doclaynet_heldout_4771_63218	heldout	List-item	list_item	(71) Applicant: SHIN-ETSU CHEMICAL CO., LTD., Tokyo (JP)	none	medium	1	decimal	0.2222	0.4464	0	1	0.40
doclaynet_heldout_4919_66075	heldout	List-item	list_item	Jean-Marie Bernard, (75) Inventors: Saint Laurent Mathias Dubecq, d’ Agny (FR); Lyons (FR)	none	medium	0	none	0.7143	0.1556	0	0	0.00
doclaynet_heldout_4846_64484	heldout	List-item	list_item	Tokyo Ohka Kogyo Co., Ltd., (71) Applicant: Kawasaki-shi (JP)	none	medium	0	none	0.7000	0.1475	0	0	0.40
doclaynet_heldout_4928_66289	heldout	List-item	list_item	(71) Applicant: Halliburton Energy Services, Inc., Houston, TX (US)	none	medium	1	decimal	0.6667	0.1493	0	1	0.40
doclaynet_heldout_4788_63479	heldout	List-item	list_item	(52) U.S. Cl. (2013.01); G03F G03F CPC .......... 710045 710392 (2013.01); (2013.01); G03F 710382 G03F (2013.01); (2020.02); C08F 220/1802 7/162 (2020.02); C08F	none	long	1	decimal	0.0278	0.1047	0	1	0.00
doclaynet_heldout_4589_60372	heldout	List-item	list_item	(86) International application number: PCT/US2002/028537	none	medium	1	decimal	0.1429	0.1071	0	1	0.40
doclaynet_heldout_4586_60334	heldout	List-item	list_item	(21) Anmeldenummer: 19200966.0	none	short	1	decimal	0.2500	0.0333	0	1	0.75
doclaynet_heldout_4842_64421	heldout	List-item	list_item	Union [73] Carbide Assignee: Chemicals Plastics & Technology Corporation. Danbury. Conn.	none	medium	0	none	0.9000	0.1023	1	0	0.40
doclaynet_heldout_4903_65720	heldout	List-item	list_item	(75) Inventors: Hudson, OH Chenchy Jeffrey Lin, (US); William L. Hergenrother, Akron, OH (US)	none	medium	1	decimal	0.5714	0.1828	0	1	0.00
doclaynet_heldout_4928_66299	heldout	List-item	list_item	(58) Field of Classification Search CPC ................................ E21B 33/138; C09K 8/56 See application file for complete search history.	none	long	1	decimal	0.2105	0.0759	1	1	0.00
doclaynet_heldout_4896_65535	heldout	List-item	list_item	Christian Ochs, Elke (75) Inventors: Burghausen (DE); Fritz-Langhals, Ottobrunn (DE)	none	medium	0	none	0.7273	0.1429	0	0	0.40
doclaynet_heldout_4599_60548	heldout	List-item	list_item	(86) International application number: PCT/US2007/064961	none	medium	1	decimal	0.1429	0.1071	0	1	0.40
doclaynet_heldout_4872_65034	heldout	List-item	list_item	Bayer Aktiengesellschaft, [73] Assignee: Leverkusen, Germany	none	short	0	none	0.8333	0.0833	0	0	0.75
doclaynet_heldout_4599_60551	heldout	List-item	list_item	(21) Application number: 07759411.7	none	short	1	decimal	0.2000	0.0286	0	1	0.75
doclaynet_heldout_4589_60369	heldout	List-item	list_item	(21) Application number: 02757648.7	none	short	1	decimal	0.2000	0.0286	0	1	0.75
doclaynet_heldout_4893_65472	heldout	List-item	list_item	Bewdley (GB) (72) Inventor: Daniel James Brown,	none	medium	0	none	0.7143	0.1489	0	0	0.40
doclaynet_heldout_5022_67046	heldout	List-item	list_item	(74) Agent: DONALDSON & BURKINSHAW LLP; 24 Raf‹ fles Place, #15-00 Clifford Centre, Singapore 048621 (SG).	none	medium	1	decimal	0.3750	0.2830	1	1	0.00
doclaynet_heldout_4628_61081	heldout	List-item	list_item	(71) Applicant: FUJIFILM Corporation, Tokyo (JP)	none	short	1	decimal	0.5000	0.2708	0	1	0.75
doclaynet_heldout_4916_65988	heldout	List-item	list_item	Kristian Dahlen, (75) Inventors: Stora Hoga (SE); Roger Carlsson, Save (SE)	none	medium	0	none	0.7273	0.1600	0	0	0.40
doclaynet_heldout_2886_39609	heldout	List-item	list_item	Subject: Guarantee No< … > Financing Guarantee for the repayment of pre-financing payable under contract < TA Contract number and title > (please quote number a	none	long	0	none	0.2222	0.0419	0	0	0.00
doclaynet_heldout_4827_64167	heldout	List-item	list_item	(21) 출원번호 10-2004-7013537	none	short	1	decimal	0.0000	0.0000	0	1	0.75
doclaynet_heldout_4735_62605	heldout	Text	paragraph	US006482565Bl	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4834_64268	heldout	Text	paragraph	US006503413B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4872_65027	heldout	Text	paragraph	US005648520A	none	very_short	0	none	0.0000	0.2500	0	0	1.00
doclaynet_heldout_4842_64413	heldout	Text	paragraph	US005763671A	none	very_short	0	none	0.0000	0.2500	0	0	1.00
doclaynet_heldout_4586_60343	heldout	Text	paragraph	(19)	none	very_short	0	none	0.0000	0.0000	0	0	1.00
doclaynet_heldout_4771_63212	heldout	Text	paragraph	US 20190010119Al	none	very_short	0	none	0.0000	0.1875	0	0	1.00
doclaynet_heldout_4893_65465	heldout	Text	paragraph	US 20200352177Al	none	very_short	0	none	0.0000	0.1875	0	0	1.00
doclaynet_heldout_4628_61075	heldout	Text	paragraph	US 20200050106Al	none	very_short	0	none	0.0000	0.1875	0	0	1.00
doclaynet_heldout_4788_63467	heldout	Text	paragraph	US 20210033970Al	none	very_short	0	none	0.0000	0.1875	0	0	1.00
doclaynet_heldout_4903_65717	heldout	Text	paragraph	US007335411B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4906_65821	heldout	Text	paragraph	US007144993B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4662_61569	heldout	Text	paragraph	US007049044B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4672_61767	heldout	Text	paragraph	US007851130B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4916_66021	heldout	Text	paragraph	US008846844B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4896_65558	heldout	Text	paragraph	US007902392B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4661_61495	heldout	Text	paragraph	US009423690B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4846_64479	heldout	Text	paragraph	US009164380B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4928_66282	heldout	Text	paragraph	US009840656B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4919_66101	heldout	Text	paragraph	US008188171B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_4923_66204	heldout	Text	paragraph	US006930141B2	none	very_short	0	none	0.0000	0.2308	0	0	1.00
doclaynet_heldout_2886_39589	heldout	Text	paragraph	<To be completed on paper bearing the letterhead of the financial institution>	none	medium	0	none	0.0833	0.0128	0	0	0.40
doclaynet_heldout_5587_74322	heldout	Text	paragraph	Washington, D.C. 20549 __________________________	none	short	0	none	0.2500	0.0612	0	0	0.75
doclaynet_heldout_2760_37141	heldout	Text	paragraph	Bezeichnung der Bauleistung:	none	short	0	none	0.6667	0.0714	0	0	0.75
doclaynet_heldout_3005_41609	heldout	Text	paragraph	Contract no: [complete]	none	short	0	none	0.3333	0.0435	0	0	0.75
doclaynet_heldout_5437_72537	heldout	Text	paragraph	Washington, D.C. 20549	none	short	0	none	0.2500	0.1364	0	0	0.75
doclaynet_heldout_2712_36239	heldout	Text	paragraph	(will be inserted by the editor)	none	short	0	none	0.0000	0.0000	0	0	0.75
doclaynet_heldout_2760_37170	heldout	Text	paragraph	A-01654-00	none	short	0	none	0.0000	0.1000	0	0	0.75
doclaynet_heldout_2760_37172	heldout	Text	paragraph	H3.097 N Salzhalle SP Holledau	none	short	0	none	0.3333	0.2000	0	0	0.75
doclaynet_heldout_4599_60547	heldout	Text	paragraph	EP 2 000 008 B1 (11)	none	short	0	none	0.0000	0.1500	0	0	0.75
doclaynet_heldout_2604_33943	heldout	Text	paragraph	a M. Limpinsel, A. Wagenpfahl, M. Mingebach, and C. Deibel	none	medium	0	none	0.4000	0.1379	0	0	0.40
doclaynet_heldout_4359_57526	heldout	Text	paragraph	BARSKA warrants your micrscope to be free from defects in materials and workmanship for one (1) year.	none	medium	0	none	0.0000	0.0594	1	0	0.00
doclaynet_heldout_2524_32487	heldout	Text	paragraph	, ∗ $^{1}$Yong-Seon Song, 1 $^{2}$Cristiano G. Sabiu, $^{1}$Robert C. Nichol and $^{2}$Christopher J. Miller	none	medium	0	none	0.5000	0.1111	0	0	0.00
doclaynet_heldout_2606_33995	heldout	Text	paragraph	$^{1,}$∗ $^{2,}$† $^{2, 3,}$‡ S. H. Chiu, T. K. Kuo, and Lu-Xin Liu	none	medium	0	none	0.3571	0.1343	0	0	0.00
doclaynet_heldout_2713_36244	heldout	Text	paragraph	2 PI Chun-Mei $^{1}$, YANG Shu-Hua2 , and ZHENG Xiao-Ping ∗∗	none	medium	0	none	0.5000	0.2833	0	0	0.40
doclaynet_heldout_2751_36954	heldout	Text	paragraph	∗ H. Hern´ andez-Salda˜ na	none	short	0	none	0.4000	0.1154	0	0	0.75
doclaynet_heldout_5437_72538	heldout	Text	paragraph	(Mark One)	none	very_short	0	none	1.0000	0.2000	0	0	1.00
doclaynet_heldout_4359_57527	heldout	Text	paragraph	BARSKA will repair or replace such product or part thereof which, upon inspection by BARSKA, is found to be defective in materials or workmanship. As a conditio	none	very_long	0	none	0.0189	0.0972	1	0	0.00
doclaynet_heldout_2604_33944	heldout	Text	paragraph	Experimental Physics VI, Julius-Maximilians-University of W¨urzburg, D-97074 W¨urzburg	none	medium	0	none	0.3846	0.1163	0	0	0.00
doclaynet_heldout_5437_72539	heldout	Text	paragraph	ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 ☑	none	medium	0	none	0.0000	0.6860	0	0	0.00
doclaynet_heldout_5587_74326	heldout	Text	paragraph	☒	none	very_short	0	none	0.0000	0.0000	0	0	1.00
doclaynet_heldout_2524_32488	heldout	Text	paragraph	& $^{1}$Institute of Cosmology Gravitation, University of Portsmouth, Portsmouth, PO1 3FX, UK	none	medium	0	none	0.5000	0.1290	0	0	0.40
doclaynet_heldout_2751_36955	heldout	Text	paragraph	Departamento de Ciencias B´ asicas, Universidad Aut´ onoma Metropolitana-Azcapotzalco, Av. San Pablo 180, M´ exico 02200 D.F., Mexico.	none	long	0	none	0.5000	0.1045	1	0	0.00
doclaynet_heldout_5587_74325	heldout	Text	paragraph	ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934	none	medium	0	none	0.0000	0.7024	0	0	0.00
doclaynet_heldout_2713_36245	heldout	Text	paragraph	1 Department of Physics and Electronics, Hubei University of Education, Wuhan 430205, P.R.China	none	medium	0	none	0.5333	0.1053	0	0	0.00
doclaynet_heldout_2760_37171	heldout	Text	paragraph	A0165400007	none	very_short	0	none	0.0000	0.0909	0	0	1.00
doclaynet_heldout_2760_37173	heldout	Text	paragraph	BAU-ELT	none	very_short	0	none	0.0000	0.8571	0	0	1.00
doclaynet_heldout_2516_32331	heldout	Text	paragraph	a ∗ † ‡ D. Dudal $^{a}$, S.P. Sorella $^{b}$, and N. Vandersickel	none	medium	0	none	0.2727	0.1077	0	0	0.40
doclaynet_heldout_2700_36000	heldout	Text	paragraph	† ‡ Chad E. Mitchell and Alex J. Dragt	none	medium	0	none	0.5714	0.1579	0	0	0.40
doclaynet_heldout_2678_35589	heldout	Text	paragraph	1 Fa Wang	none	short	0	none	0.6667	0.2222	0	0	0.75
