rank	split	gold_label	predicted_label	confidence_bucket	margin_bucket	count	avg_confidence	avg_margin	max_confidence	max_margin	predicted_label_group	accepted_error_count_at_selected_gate	recommended_next_action
13	heldout	paragraph	caption	0.70-0.90	>=0.30	35	0.7880	0.6360	0.8974	0.8322	runtime_eligible	35	feature/data: add caption association and figure/table proximity review
14	heldout	paragraph	heading	>=0.90	>=0.30	34	0.9436	0.9070	0.9853	0.9789	runtime_eligible	34	feature/data: add heading-shape guards and clean title-vs-body ambiguity
15	heldout	paragraph	heading	<0.50	0.05-0.15	29	0.4200	0.0893	0.4906	0.1412	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
16	heldout	list_item	paragraph	0.50-0.70	0.05-0.15	29	0.5369	0.0996	0.5672	0.1424	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
17	heldout	paragraph	list_item	<0.50	0.05-0.15	27	0.4249	0.0973	0.4961	0.1396	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
18	heldout	paragraph	list_item	0.50-0.70	0.05-0.15	27	0.5367	0.1012	0.5710	0.1440	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
19	heldout	list_item	heading	0.50-0.70	0.15-0.30	27	0.5667	0.2421	0.6411	0.2965	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
20	heldout	caption	heading	0.50-0.70	>=0.30	27	0.6370	0.4394	0.6972	0.5675	runtime_eligible	0	feature/data: add caption association and figure/table proximity review
21	heldout	list_item	paragraph	<0.50	<0.05	26	0.4398	0.0212	0.4993	0.0499	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
22	heldout	paragraph	heading	0.50-0.70	0.15-0.30	25	0.5524	0.2429	0.6304	0.2878	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
23	heldout	paragraph	heading	<0.50	<0.05	24	0.4000	0.0201	0.4977	0.0499	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
24	heldout	paragraph	list_item	<0.50	<0.05	23	0.4166	0.0229	0.4937	0.0453	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
25	heldout	heading	list_item	0.50-0.70	0.15-0.30	22	0.5684	0.2281	0.6373	0.2992	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
26	heldout	heading	paragraph	0.70-0.90	>=0.30	21	0.8099	0.6725	0.8803	0.7946	runtime_eligible	21	feature/data: add heading-shape guards and clean title-vs-body ambiguity
27	heldout	list_item	paragraph	<0.50	0.05-0.15	20	0.4269	0.0905	0.4973	0.1481	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
28	heldout	caption	heading	0.70-0.90	>=0.30	20	0.7969	0.6891	0.8828	0.8121	runtime_eligible	20	feature/data: add caption association and figure/table proximity review
29	heldout	heading	paragraph	0.50-0.70	>=0.30	19	0.6314	0.3795	0.6922	0.5058	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
30	heldout	paragraph	table_like	>=0.90	>=0.30	19	0.9812	0.9656	0.9986	0.9974	runtime_eligible	19	review: inspect label mapping and high-confidence examples
31	heldout	heading	list_item	0.70-0.90	>=0.30	18	0.7672	0.5816	0.8912	0.8004	runtime_eligible	18	feature/data: add heading-shape guards and clean title-vs-body ambiguity
32	heldout	paragraph	caption	0.50-0.70	0.15-0.30	17	0.5677	0.2315	0.6212	0.2839	runtime_eligible	0	feature/data: add caption association and figure/table proximity review
33	heldout	heading	list_item	0.50-0.70	>=0.30	17	0.6138	0.3688	0.6965	0.4587	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
34	heldout	list_item	heading	<0.50	0.05-0.15	16	0.4378	0.0941	0.4861	0.1402	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
35	heldout	paragraph	caption	<0.50	0.05-0.15	16	0.4236	0.0889	0.4973	0.1430	runtime_eligible	0	feature/data: add caption association and figure/table proximity review
36	heldout	list_item	heading	<0.50	<0.05	15	0.3962	0.0257	0.4825	0.0485	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
37	heldout	list_item	heading	>=0.90	>=0.30	15	0.9261	0.8791	0.9740	0.9613	runtime_eligible	15	feature/data: add heading-shape guards and clean title-vs-body ambiguity
38	heldout	list_item	paragraph	0.50-0.70	<0.05	14	0.5104	0.0314	0.5194	0.0440	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
39	heldout	paragraph	caption	0.50-0.70	>=0.30	13	0.6362	0.3968	0.6848	0.5163	runtime_eligible	0	feature/data: add caption association and figure/table proximity review
40	heldout	list_item	heading	<0.50	0.15-0.30	12	0.4756	0.2054	0.4959	0.2358	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
41	heldout	paragraph	list_item	<0.50	0.15-0.30	12	0.4570	0.1932	0.4952	0.2537	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
42	heldout	keep_as_text	list_item	0.70-0.90	>=0.30	12	0.7899	0.6489	0.8935	0.8303	runtime_eligible	12	review: inspect label mapping and high-confidence examples
43	heldout	heading	list_item	<0.50	0.05-0.15	12	0.4143	0.0954	0.4781	0.1457	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
44	heldout	table_like	paragraph	0.70-0.90	>=0.30	12	0.8277	0.7193	0.8921	0.8255	runtime_eligible	12	review: inspect label mapping and high-confidence examples
45	heldout	heading	paragraph	0.50-0.70	0.15-0.30	11	0.5681	0.2507	0.6090	0.2963	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
46	heldout	paragraph	table_like	0.70-0.90	>=0.30	11	0.7663	0.5905	0.8162	0.6886	runtime_eligible	11	review: inspect label mapping and high-confidence examples
47	heldout	keep_as_text	paragraph	0.50-0.70	>=0.30	11	0.6318	0.4187	0.6992	0.5359	runtime_eligible	0	review: inspect label mapping and high-confidence examples
48	heldout	paragraph	caption	>=0.90	>=0.30	11	0.9401	0.8933	0.9785	0.9582	runtime_eligible	11	feature/data: add caption association and figure/table proximity review
49	heldout	list_item	paragraph	<0.50	0.15-0.30	11	0.4682	0.1877	0.4992	0.2408	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
50	heldout	caption	paragraph	0.50-0.70	>=0.30	10	0.6112	0.3969	0.6885	0.5225	runtime_eligible	0	feature/data: add caption association and figure/table proximity review
51	heldout	footer_header_noise	heading	0.70-0.90	>=0.30	10	0.7947	0.6862	0.8479	0.7630	runtime_eligible	10	feature/data: add heading-shape guards and clean title-vs-body ambiguity
52	heldout	caption	heading	>=0.90	>=0.30	10	0.9507	0.9227	0.9883	0.9818	runtime_eligible	10	feature/data: add caption association and figure/table proximity review
53	heldout	paragraph	keep_as_text	0.70-0.90	>=0.30	9	0.7809	0.6164	0.8610	0.7580	runtime_eligible	9	review: inspect label mapping and high-confidence examples
54	heldout	paragraph	heading	<0.50	0.15-0.30	8	0.4563	0.1925	0.4901	0.2913	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
55	heldout	heading	paragraph	>=0.90	>=0.30	8	0.9322	0.8921	0.9868	0.9804	runtime_eligible	8	feature/data: add heading-shape guards and clean title-vs-body ambiguity
56	heldout	paragraph	list_item	0.50-0.70	<0.05	8	0.5078	0.0225	0.5203	0.0439	runtime_eligible	0	feature: strengthen list markers, indentation, and continuation context
57	heldout	caption	paragraph	0.50-0.70	0.15-0.30	8	0.5392	0.2240	0.5974	0.2695	runtime_eligible	0	feature/data: add caption association and figure/table proximity review
58	heldout	heading	list_item	>=0.90	>=0.30	8	0.9323	0.8914	0.9913	0.9856	runtime_eligible	8	feature/data: add heading-shape guards and clean title-vs-body ambiguity
59	heldout	paragraph	caption	<0.50	<0.05	8	0.4526	0.0294	0.4940	0.0496	runtime_eligible	0	feature/data: add caption association and figure/table proximity review
60	heldout	heading	list_item	<0.50	<0.05	8	0.3784	0.0181	0.4729	0.0413	runtime_eligible	0	feature/data: add heading-shape guards and clean title-vs-body ambiguity
