id	source_name	formats	source_type	url	license_status	redistributable	recommended_use	download_mode	local_cache	priority	notes	proposed_source_id	proposed_url	proposed_license	proposed_local_path	migration_note
yaml_test_suite	YAML Test Suite	yaml	tool_fixture	https://github.com/yaml/yaml-test-suite	MIT	ok	yaml_syntax_edge_case_reference	manual_capture	external_quality/yaml/yaml-test-suite	p1	MIT YAML Test Suite cases used to derive compact raw YAML samples for anchors, block scalars, and directive/document boundaries	yaml_test_suite	https://github.com/yaml/yaml-test-suite	MIT	external_quality/yaml/yaml-test-suite	derived local fixtures contain the upstream `yaml:` payload from selected suite cases
commonmark_tools_templates	CommonMark template HTML	html	tool_fixture	https://github.com/commonmark/commonmark-spec/blob/master/tools/template.html	BSD-2-Clause	ok	html_content_root_template_reference	checked_in_existing	external_quality/html/commonmark	p2	CommonMark `tools/template.html` captured locally as a small HTML template sample; useful for content-root extraction and title isolation	commonmark_tools_templates	https://github.com/commonmark/commonmark-spec/blob/master/tools/template.html	BSD-2-Clause	external_quality/html/commonmark	license follows the repository LICENSE section for files under `tools/`
jupyter_nbformat_notebooks	Jupyter nbformat test notebooks	ipynb	tool_fixture	https://github.com/jupyter/nbformat	BSD-3-Clause	ok	notebook_format_reference_and_output_regression	checked_in_existing	external_quality/ipynb/jupyter-nbformat	p1	BSD-3-Clause official nbformat test notebooks captured locally for mixed markdown/code cells, HTML/image display outputs, and traceback error output coverage; local cache keeps upstream LICENSE text for provenance	jupyter_nbformat_notebooks	https://github.com/jupyter/nbformat	BSD-3-Clause	external_quality/ipynb/jupyter-nbformat	copied from upstream tests/ notebooks plus LICENSE
jupyter_notebook_examples	Jupyter Notebook documentation and ui-test notebooks	ipynb	tool_fixture	https://github.com/jupyter/notebook	BSD-3-Clause	ok	notebook_markdown_attachment_and_link_reference	checked_in_existing	external_quality/ipynb/jupyter-notebook	p1	BSD-3-Clause official Jupyter Notebook examples captured locally for markdown-cell structure, attachment rewriting, and local link preservation; local cache keeps upstream LICENSE text for provenance	jupyter_notebook_examples	https://github.com/jupyter/notebook	BSD-3-Clause	external_quality/ipynb/jupyter-notebook	copied from upstream docs/source/examples and ui-tests notebooks plus LICENSE
jupyterlab_notebooks	JupyterLab test notebooks	ipynb	tool_fixture	https://github.com/jupyterlab/jupyterlab	BSD-3-Clause	ok	notebook_output_mix_and_large_cell_reference	checked_in_existing	external_quality/ipynb/jupyterlab	p1	BSD-3-Clause JupyterLab notebooks captured locally for multi-output code cells, raw-cell visibility, markdown display-data lowering, and over-limit notebook routing coverage; local cache keeps upstream LICENSE text for provenance	jupyterlab_notebooks	https://github.com/jupyterlab/jupyterlab	BSD-3-Clause	external_quality/ipynb/jupyterlab	copied from upstream galata notebooks plus LICENSE
apache_james_mime4j_tests	Apache James Mime4j test messages	eml	tool_fixture	https://github.com/apache/james-mime4j	Apache-2.0	ok	email_mime_tree_and_nested_message_reference	checked_in_existing	external_quality/eml/apache-james-mime4j	p1	Apache-2.0 Apache James Mime4j official test messages captured locally for basic plain-text mail, attachment inventory, and nested message/rfc822 decoding coverage; local cache keeps upstream LICENSE text for provenance	apache_james_mime4j_tests	https://github.com/apache/james-mime4j	Apache-2.0	external_quality/eml/apache-james-mime4j	copied from upstream core test resources plus LICENSE
martinlindhe_subtitles	Martin Lindhe subtitles test fixtures	srt,vtt	tool_fixture	https://github.com/martinlindhe/subtitles	MIT	ok	subtitle_timing_and_multiline_caption_reference	checked_in_existing	external_quality/srt/martinlindhe-subtitles	p1	MIT upstream subtitle parser fixtures captured locally for SRT real-file coverage and VTT test-literal mirroring; useful for cue timing preservation, multiline caption handling, and current visible subtitle block projection	martinlindhe_subtitles	https://github.com/martinlindhe/subtitles	MIT	external_quality/srt/martinlindhe-subtitles	copied from upstream testdata plus LICENSE; VTT fixture derived from upstream vtt_test.go literal
docutils_rst_docs	Docutils reStructuredText documentation	rst	tool_fixture	https://github.com/docutils/docutils	Public-Domain	ok	rst_documentation_and_directive_boundary_reference	checked_in_existing	external_quality/rst/docutils	p1	Public-domain Docutils documentation captured locally for reStructuredText heading, list, literal-block, directive-boundary, and link coverage; source tree keeps COPYING material for provenance	docutils_rst_docs	https://github.com/docutils/docutils	Public-Domain	external_quality/rst/docutils	copied from upstream documentation plus COPYING
asciidoctor_docs	Asciidoctor documentation fixtures	asciidoc	tool_fixture	https://github.com/asciidoctor/asciidoctor	MIT	ok	asciidoc_heading_and_realworld_markup_reference	checked_in_existing	external_quality/asciidoc/asciidoctor	p1	MIT Asciidoctor fixtures captured locally for simple document headings and a larger real README with attribute declarations, fenced examples, links, and admonition-like boundaries	asciidoctor_docs	https://github.com/asciidoctor/asciidoctor	MIT	external_quality/asciidoc/asciidoctor	copied from upstream README/test fixtures plus LICENSE
latex2e_samples	LaTeX2e sample documents	tex	tool_fixture	https://github.com/latex3/latex2e	LPPL-1.3c	ok	tex_heading_comment_and_quote_reference	checked_in_existing	external_quality/tex/latex2e	p1	LPPL-1.3c LaTeX2e sample material captured locally for section heading recognition, TeX comment stripping, quote environment preservation, and raw macro boundary behavior	latex2e_samples	https://github.com/latex3/latex2e	LPPL-1.3c	external_quality/tex/latex2e	copied from upstream sample2e.tex plus LICENSE
odf_toolkit_tests	ODF Toolkit official test documents	odt,ods,odp	tool_fixture	https://github.com/tdf/odftoolkit	Apache-2.0	ok	odf_package_document_reference	checked_in_existing	external_quality/odt/odf-toolkit	p1	Apache-2.0 ODF Toolkit test documents captured locally for ODT text/table, ODS sheet/note, and ODP slide/image coverage across the current ODF main-chain parsers	odf_toolkit_tests	https://github.com/tdf/odftoolkit	Apache-2.0	external_quality/odt/odf-toolkit	copied from upstream odfdom test-input fixtures plus LICENSE
